,GPT-o4_pass_rate,GPT-o4_test_count,Claude4-sonnet_pass_rate,Claude4-sonnet_test_count,Qwen3-coder_pass_rate,Qwen3-coder_test_count,id,total_program_units,total_doc_str,coverage,rouge1_gpt-o4-mini,rouge2_gpt-o4-mini,rouge3_gpt-o4-mini,rougeL_gpt-o4-mini,bleu_gpt-o4-mini,bleu1_gpt-o4-mini,bleu2_gpt-o4-mini,bleu3_gpt-o4-mini,code_bert_prec_gpt-o4-mini,code_bert_recall_gpt-o4-mini,code_bert_f1_gpt-o4-mini,code_bert_f3_gpt-o4-mini,tsed_gpt-o4-mini,rouge1_qwen-3-coder,rouge2_qwen-3-coder,rouge3_qwen-3-coder,rougeL_qwen-3-coder,bleu_qwen-3-coder,bleu1_qwen-3-coder,bleu2_qwen-3-coder,bleu3_qwen-3-coder,code_bert_prec_qwen-3-coder,code_bert_recall_qwen-3-coder,code_bert_f1_qwen-3-coder,code_bert_f3_qwen-3-coder,tsed_qwen-3-coder,rouge1_claude-4-sonnet,rouge2_claude-4-sonnet,rouge3_claude-4-sonnet,rougeL_claude-4-sonnet,bleu_claude-4-sonnet,bleu1_claude-4-sonnet,bleu2_claude-4-sonnet,bleu3_claude-4-sonnet,code_bert_prec_claude-4-sonnet,code_bert_recall_claude-4-sonnet,code_bert_f1_claude-4-sonnet,code_bert_f3_claude-4-sonnet,tsed_claude-4-sonnet,gpt-o4-mini_code_bleu,gpt-o4-mini_ngram_match,gpt-o4-mini_weighted_ngram_match,gpt-o4-mini_syntax_match,gpt-o4-mini_dataflow_match,qwen-3-coder_code_bleu,qwen-3-coder_ngram_match,qwen-3-coder_weighted_ngram_match,qwen-3-coder_syntax_match,qwen-3-coder_dataflow_match,claude-4-sonnet_code_bleu,claude-4-sonnet_ngram_match,claude-4-sonnet_weighted_ngram_match,claude-4-sonnet_syntax_match,claude-4-sonnet_dataflow_match
count,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
mean,0.4139338897070856,1.556701030927835,0.554860088365243,1.556701030927835,0.5566601210931108,1.556701030927835,384679.3333333333,4.257731958762887,2.0171821305841924,0.6828787176491624,0.6593523728967561,0.5317098242542098,0.4629727398525574,0.6007985420790676,0.47723017168752024,0.6833011893638273,0.5377738140376448,0.46467106272900216,0.865181053422161,0.885604651113556,0.8736693924644968,0.8829115061825493,0.8152538135031083,0.7187665255894383,0.6103229222415648,0.5481460807628712,0.6739124115623489,0.5263915727414027,0.7619537473936714,0.6350705343222384,0.5666333996411411,0.9019516024392905,0.8949018550902298,0.8970901316793514,0.8951256936768076,0.837914715324549,0.7224941107560996,0.6116926135144946,0.5478151342677873,0.6754885862161983,0.533859250274642,0.7566470058150867,0.6263423013567307,0.5553956854948716,0.9005693694979874,0.8980364668410259,0.8979543873534579,0.897795821383237,0.8369673073502686,0.4582067754282272,0.3426577661644032,0.4466380113865619,0.48696035748850414,0.5187702793882162,0.48952004242172853,0.4201949050755614,0.4982326761195511,0.48572353030236476,0.5195647970210518,0.5042221553584234,0.42976209962276457,0.4996511452464558,0.5026128867598755,0.5230068197015051
std,0.47218269628574183,1.1138848343084584,0.4821565001445985,1.1138848343084584,0.47805016661352173,1.1138848343084584,222967.1786182942,1.27532295178689,1.8633618943921457,0.2952105956316499,0.18205115093748345,0.21532898594867442,0.22576586440714505,0.1993567494172628,0.18591781609390481,0.19112746729175348,0.19080822318654306,0.18739339173730793,0.07782098475417983,0.06965061559545861,0.0655982703584209,0.06723896497342337,0.06492784772230631,0.18599261828872748,0.22186629514387948,0.23541552166411855,0.20059353077233938,0.20381941149498894,0.1846365485196174,0.20329609075315208,0.20658091308322982,0.07050932989781493,0.07382684532931237,0.06554961300828988,0.07119548389556858,0.06974015236762134,0.19071736525027938,0.2263445727554458,0.23960569519290403,0.20405665343785956,0.20073184523586002,0.19284329628651767,0.21004654506186107,0.21381843255693575,0.07679294891888745,0.07002721075699073,0.06725965103349228,0.06837176683719977,0.07076324593734103,0.15865281724859706,0.2091852449741971,0.21668109515314335,0.152505967612116,0.25656735512014384,0.18014745233035384,0.2301618769909429,0.22297499614742966,0.17660701017151498,0.26594846558113644,0.17345909630645787,0.2304017544130108,0.21788801587646686,0.16742568757812776,0.2724392466412959
min,0.0,1.0,0.0,1.0,0.0,1.0,1749.0,3.0,0.0,0.1304347826086956,0.1904761904761904,0.1126760563380281,0.0579710144927536,0.160377358490566,0.0025591077893365,0.1077844311377245,0.086,0.0666666666666666,0.6013835072517395,0.6551790237426758,0.67396479845047,0.6588519215583801,0.6999218978102202,0.1470588235294117,0.0784313725490196,0.0343980343980344,0.1246943765281173,0.0222345924933147,0.0846774193548387,0.0566801619433198,0.0328947368421052,0.637678325176239,0.6017377376556396,0.6912795305252075,0.617741048336029,0.705287500000001,0.1507537688442211,0.0914454277286135,0.0334620334620334,0.1450252951096121,0.012350405678639,0.115819209039548,0.0829406220546654,0.0660377358490566,0.6102078557014465,0.6012932062149048,0.690888524055481,0.6173037886619568,0.6775394565217392,0.0926972020304952,0.0001181032521576,0.0204885572950636,0.1333333333333333,0.0,0.0740402327786312,0.0028672574743756,0.0314273632703584,0.048076923076923,0.0,0.1055985484565865,0.0028672574743756,0.0296533540529949,0.1333333333333333,0.0
25%,0.0,1.0,0.0,1.0,0.0,1.0,211225.0,3.0,0.0,0.4285714285714285,0.5231268498262771,0.3608066902152583,0.27320574162679423,0.44145122477941634,0.33988550447907506,0.5663123081187106,0.395497311827957,0.3330200501253132,0.817726731300354,0.8387688994407654,0.8281798660755157,0.8399020135402679,0.7696324424386989,0.5952229524415236,0.4469336670838548,0.35457957957957953,0.5230823863636364,0.4091754346258646,0.6544167047378463,0.5064616526166086,0.4084228628160125,0.8589034080505371,0.8515417277812958,0.853786826133728,0.8531661331653595,0.7850839801495972,0.6143589743589744,0.4463508002995922,0.3506756756756757,0.5227941490042219,0.4091488155972161,0.6561690714021458,0.49731486435606287,0.40896686159844053,0.8620562851428986,0.853861927986145,0.858676940202713,0.8538927733898163,0.7805223858995918,0.33717632889525295,0.1663581630915862,0.26013505086978955,0.396546803652968,0.3422046703296703,0.36935467487674606,0.22553976904010303,0.3114427406365154,0.36992481203007516,0.3333333333333333,0.37788929730144494,0.2252898569133534,0.32597477739690606,0.3891347099311701,0.3333333333333333
50%,0.0,1.0,1.0,1.0,1.0,1.0,327599.0,4.0,2.0,0.75,0.6556291390728477,0.5302325581395348,0.4459459459459459,0.6114864864864865,0.4976177332885738,0.7213930348258707,0.5538922155688623,0.4706994328922495,0.8784452676773071,0.8954466581344604,0.8773407340049744,0.8916680812835693,0.8045996551724139,0.7518248175182481,0.6446280991735537,0.574468085106383,0.7008196721311476,0.5484036033205528,0.8069164265129684,0.6735849056603773,0.5926829268292683,0.9196563959121704,0.908158540725708,0.9097567796707152,0.9061532020568848,0.8286795530726258,0.777027027027027,0.6727272727272727,0.6038647342995169,0.7256235827664399,0.556329540784227,0.8107142857142857,0.642512077294686,0.5668789808917197,0.9227906465530396,0.9109700918197632,0.913823127746582,0.9117161631584167,0.8308474626865671,0.4647926179179383,0.3262483809697559,0.4834276770381757,0.4756097560975609,0.5,0.4907188887700457,0.446017675541669,0.5345141761856448,0.4666666666666667,0.490566037735849,0.5113960428776424,0.4727299115881062,0.5320185873761066,0.4878048780487805,0.5205479452054794
75%,1.0,2.0,1.0,2.0,1.0,2.0,568781.0,5.0,3.0,1.0,0.8102382251318421,0.7045716924497807,0.648513850508863,0.7645788817663818,0.6160870942839247,0.8371760797342194,0.68741576819407,0.609837193304288,0.9245544075965881,0.9413481950759888,0.9225433766841888,0.9354715347290039,0.8535909329557629,0.8704969845518753,0.7899175649968295,0.7293617021276596,0.8318622559930412,0.6782445461920511,0.9093399750933998,0.8,0.7309734513274335,0.9585064649581908,0.9502654671669006,0.950765699148178,0.9475960731506348,0.8848863552295918,0.8704665430161221,0.7867965367965368,0.7299587334644606,0.8292067353741236,0.6829997374609185,0.9106500791025456,0.7924532475144599,0.7149859943977591,0.9556867778301238,0.9529018700122833,0.9498217701911926,0.9502363502979279,0.88889,0.5667807575776287,0.5222303715226471,0.6239393832574579,0.5783625730994152,0.7047930283224402,0.6109905282787425,0.6102713942269069,0.6720687813012555,0.5933035714285715,0.6957070707070707,0.6232706184893559,0.6229683884024952,0.6722072852987759,0.6092258748674444,0.7142857142857143
max,1.0,12.0,1.0,12.0,1.0,12.0,842212.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,0.9120626710647152,0.98,0.9595959595959596,0.9387755102040816,0.9984979629516602,0.9984979629516602,0.9984979629516602,0.9984980225563048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.949937801524292,0.898000333150059,0.9017508729471092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
